id,codalu,"Código
Curso","N° Total de
Repeticiones"
1,20032199A,HH221,2
1,20032199A,PI111,2
1,20161385F,AA231,2
1,20150531F,SA332,2
1,20142169J,FI403,2
1,20142169J,HH221,2
1,20162201F,FS145,2
1,20110280B,HH221,2
1,20061304D,SA445,2
1,20131199J,SA445,2
1,20101263A,AS101,2
1,20101263A,SA654,2
1,20132654B,SA216,2
1,20172183K,AA223,2
1,20140457H,AA232,2
1,20140457H,AA234,2
1,20140457H,BO112,2
1,20111171B,HH113,2
1,20111171B,HH224,2
1,20111171B,SA115,2
1,19870583K,MA143,2
1,20145529G,HH113,2
1,20121233K,AA232,2
1,20121233K,FI403,2
1,20070370F,SA216,2
1,20141271E,AA231,2
1,20141271E,AA234,2
1,20081272K,SA445,2
1,20144568I,FI403,2
1,20121281E,HH501,2
1,20131156I,CO821,2
1,20131156I,EC323,2
1,20092083J,EC211,2
1,20132014C,EC514,2
1,20160054F,CB213,2
1,20130092G,SA253,2
1,20132557G,EC323,2
1,19942235C,CB212,2
1,20163003C,TV113,2
1,20112031J,EC513,2
1,20090249H,EC211,2
1,20090249H,ES731,2
1,20151113C,GE001,2
1,20151113C,TV561,2
1,20130140A,CO923,2
1,20130140A,HH333,2
1,20131140E,HH224,2
1,20171152D,CB115,2
1,20170012D,EP111,2
1,20172040E,FI204,2
1,20040349I,EC521,2
1,19960390G,CB121,8
1,19960390G,ES531,2
1,20162037A,CB311,2
1,20162037A,TV113,2
1,20092086I,CO822,3
1,20162529A,FI204,2
1,20094140K,EC521,2
1,20094140K,HH113,2
1,20172515C,CB115,2
1,20144005D,CB412,2
1,20160130D,CB311,2
1,20070334J,CO922,2
1,20070334J,EC323,3
1,20070334J,ES831,2
1,20070334J,HH333,5
1,20070334J,SA253,3
1,20070334J,TV815,4
1,20160042H,CB212,2
1,20160042H,EP111,2
1,20160042H,FI204,2
1,20121116D,CB411,2
1,20141068E,GE001,2
1,20021037E,ES531,2
1,20050295I,CO822,2
1,20120081B,CB411,2
1,19942181K,CB115,2
1,19942181K,GE001,2
1,20122565G,TV113,2
1,20131151G,HH224,2
1,20131151G,TV114,2
1,20161025J,CB311,2
1,20161025J,EC111,2
1,20160159B,GE001,2
1,20080208G,MA611,3
1,20154112H,EC111,2
1,20132549D,HH223,2
1,19970037H,CO722,2
1,20160065H,CB213,2
1,20090144A,EC513,2
1,20161141J,EP111,2
1,20090132C,CB412,2
1,20090132C,EC612,2
1,20090132C,TV113,4
1,20150062F,CB211,2
1,20150062F,FI204,2
1,20131117C,EC114,2
1,20144078A,EC211,2
1,20144078A,EC513,2
1,20144078A,HH224,2
1,19954516B,EC521,2
1,19954516B,HH315,2
1,19992113I,SA253,7
1,19992113I,TV761,2
1,20162050H,EC114,2
1,20141124B,HH223,2
1,20140152B,HH224,2
1,20112522C,ES832,2
1,20110074C,ES831,2
1,20110074C,SA253,2
1,20110074C,TV761,2
1,20072516H,HH413,2
1,20152026G,CB213,2
1,20110184C,CO925,2
1,20141005C,EC513,2
1,20141005C,ES731,2
1,20142205F,CB213,2
1,20142205F,GE001,2
1,20142205F,HH223,2
1,20110083B,CB115,2
1,20110083B,CB212,2
1,20152076D,EC211,2
1,20100205H,EC211,2
1,19950376A,CB411,2
1,19950376A,MA195,9
1,20052539B,EC935,2
1,20142029C,GE831,2
1,20152505B,CB412,2
1,20042122A,HH223,8
1,20042122A,TV513,2
1,20131040K,CO622,2
1,20131040K,GE001,2
1,20131040K,MA195,2
1,20170149J,EP111,2
1,20120152G,EC513,2
1,20060291F,EC515,2
1,20151072E,EP111,2
1,20160043D,TV113,2
1,20130175J,TV114,2
1,20031268J,ES731,2
1,20112055F,HH113,2
1,20160088H,CB412,2
1,20145511K,HH113,2
1,20145511K,TV661,2
1,20150092B,EC111,2
1,20111067K,SA253,2
1,20152528B,GE001,2
1,20021147E,SA253,2
1,20121013K,CB412,3
1,19780200E,ES831,2
1,20160017C,TV113,2
1,19940368F,CO722,2
1,20120091H,CO920,2
1,20120091H,CO927,2
1,20120091H,EC323,2
1,20120091H,SA253,2
1,20120091H,TV661,3
1,19961186D,HH224,12
1,20130046E,CO822,2
1,20112058E,EC211,2
1,20112058E,ES731,2
1,20112058E,SA253,2
1,20134031B,HH224,2
1,20090286K,EC935,2
1,20120120H,CO721,2
1,20140130I,EC211,2
1,20140130I,TV114,2
1,20111044K,SA253,2
1,19941144D,EC111,2
1,20130130F,CO622,2
1,20090322G,HH224,2
1,20102527B,CO823,2
1,20102527B,CO921,2
1,20162501J,CB212,2
1,20162501J,FI204,2
1,20052130G,CO925,2
1,20122060B,CB411,2
1,20122060B,EC114,2
1,20122060B,EC511,2
1,20151049C,EC114,2
1,20131107H,ES731,2
1,20170158I,CB212,2
1,20170158I,EP111,2
1,20165517D,CB121,2
1,20092540A,EC513,2
1,20092540A,ES531,2
1,20153003K,CB411,2
1,20153003K,CB412,2
1,20153003K,GE001,2
1,20141129D,TV761,2
1,20141114G,ES531,2
1,20131102F,CB121,2
1,20110126C,TV114,2
1,20151105K,CB411,2
1,20151105K,CB412,2
1,20161069G,CB211,2
1,20161069G,CB212,2
1,20161069G,FI204,2
1,20130110E,SA253,2
1,20131103B,HH224,2
1,20132012K,ES731,2
1,20074061H,CO921,2
1,20074061H,GE831,7
1,20074061H,HH413,2
1,20074061H,SA253,2
1,20060077D,HH333,2
1,20162032J,TV114,2
1,20122512K,ES731,2
1,20012650J,ES531,2
1,20114514H,CB412,2
1,20114514H,CO421,2
1,20114514H,TV113,2
1,20122064H,CB412,2
1,20102078C,CO922,2
1,20102078C,GE831,2
1,20145520J,HH485,2
1,20131091D,HH223,2
1,20142548K,GE001,2
1,20141010G,ES731,2
1,20141010G,HH224,2
1,20061272E,EC211,2
1,20061272E,ES731,2
1,20061272E,HH224,2
1,19890554F,EC211,3
1,19890554F,ES731,2
1,20170173H,CB211,2
1,20170173H,CB212,2
1,20170173H,FI204,2
1,20132510K,CB412,2
1,20132510K,EC612,2
1,20132510K,TV113,2
1,20174034B,FI204,2
1,19932514G,HH413,4
1,20151108J,GE001,2
1,20110054B,EC321,2
1,20110137E,HH433,2
1,20110137E,SA253,2
1,20140067E,CB412,2
1,20111045G,CO823,2
1,20111045G,EC211,2
1,20151135G,GE001,2
1,20162595D,FI204,2
1,20150121B,CB311,2
1,20140135K,CO822,2
1,20140135K,GE831,2
1,20140135K,HH113,2
1,20082103H,CO621,3
1,20082103H,CO822,2
1,20082103H,EC613,4
1,20082103H,HH224,6
1,20082103H,HH611,3
1,19981213G,HH113,8
1,20160063E,CB213,2
1,20150136J,CB412,2
1,19980389D,ES831,2
1,19982571D,EC513,6
1,19982571D,ES531,2
1,20161047C,FI204,2
1,20132060E,ES831,2
1,20110042D,CO822,2
1,20142543I,CO622,2
1,20142543I,GE001,2
1,20100101H,ES531,2
1,20100101H,MA195,2
1,20151021A,FI204,2
1,20131157E,CO821,2
1,20131157E,CO822,2
1,20160035A,CB412,2
1,20082568K,SA253,2
1,20162039D,CB412,2
1,19992132C,CB412,2
1,20120086D,EC323,2
1,20120086D,HH425,2
1,20162575C,FI204,2
1,20162575C,TV113,2
1,20101161D,SA253,2
1,20140111D,TV661,2
1,20171123D,CB115,2
1,20162588H,TV113,2
1,20002132F,CB412,2
1,20152526J,GE001,2
1,20111196E,EC211,2
1,20170094K,CB121,2
1,20170168D,CB109,2
1,19992154G,EC114,2
1,19992154G,EC513,2
1,20170141I,CB211,2
1,20170141I,FI204,2
1,20141152F,CB213,2
1,20060239D,SA253,2
1,20110138A,CB412,2
1,20110138A,CO822,2
1,20090318J,HH113,2
1,20164154E,CB311,2
1,20164154E,EC111,2
1,20164154E,GE001,2
1,20170023F,FI204,2
1,20127010C,HH113,2
1,20171040A,CB114,2
1,20122017J,CB411,2
1,20110060B,ES831,2
1,20110060B,ES934,2
1,20131051B,CO823,2
1,20060373B,EC935,2
1,20000202G,EC521,4
1,20140085C,CB211,2
1,20121083I,TV661,2
1,20162510I,EP111,2
1,20081285E,HH113,2
1,20122045C,GE831,2
1,20030349F,EC513,3
1,19980422A,HH113,2
1,20072539H,HH113,2
1,20072539H,TV513,2
1,20071187K,EC211,2
1,20071187K,ES731,2
1,20071187K,SA253,2
1,20141090K,TV113,2
1,20175026C,CB101,2
1,20175026C,EC111,2
1,20175026C,EC611,2
1,20140019K,HH113,2
1,20130064C,ES731,2
1,20110131G,ES831,2
1,20140079C,HH224,2
1,20142055D,EC211,2
1,20142055D,EC513,2
