enterga,codcur,codalu,nveces,codperiodo,codcar
1,HH333,20140104H,2,2019I,C1
1,CO822,20092086I,2,2019I,C1
1,EC211,20101028B,2,2019I,C1
1,EC521,20094140K,2,2019I,C1
1,CB115,20180010D,2,2019I,C1
1,EC211,19982591E,2,2019I,C1
1,CO822,20010235E,2,2019I,C1
1,CO622,20121116D,2,2019I,C1
1,CB212,20171125G,2,2019I,C1
1,HH223,20141099H,2,2019I,C1
1,CO822,20050295I,2,2019I,C1
1,ES832,20102501C,2,2019I,C1
1,CO721,20154130F,2,2019I,C1
1,EC211,20100186C,2,2019I,C1
1,ES531,20122565G,2,2019I,C1
1,TV114,20131151G,2,2019I,C1
1,FI204,20171023J,2,2019I,C1
1,ES731,20141104A,2,2019I,C1
1,EC211,19801624C,2,2019I,C1
1,HH223,20080208G,2,2019I,C1
1,TV561,20140141K,2,2019I,C1
1,HH333,20020268C,2,2019I,C1
1,CO721,20142512F,2,2019I,C1
1,CB213,20162593A,2,2019I,C1
1,CO821,19972163K,2,2019I,C1
1,CB412,20090132C,2,2019I,C1
1,GE001,20150062F,2,2019I,C1
1,EC521,19954516B,2,2019I,C1
1,HH223,20142528J,2,2019I,C1
1,EC111,20160162C,2,2019I,C1
1,ES831,20112522C,2,2019I,C1
1,CB115,20184117H,2,2019I,C1
1,CO822,20072516H,2,2019I,C1
1,TV661,20152026G,2,2019I,C1
1,CO823,20121021C,2,2019I,C1
1,CB101,20180019A,2,2019I,C1
1,ES731,20130179E,2,2019I,C1
1,CB311,20152536E,2,2019I,C1
1,FI204,20162020A,2,2019I,C1
1,EC114,20177003K,2,2019I,C1
1,CO622,20131040K,2,2019I,C1
1,EC114,20160018J,2,2019I,C1
1,EC513,20120152G,2,2019I,C1
1,FI204,20170089G,2,2019I,C1
1,EC513,20130074I,2,2019I,C1
1,TV114,20135020D,2,2019I,C1
1,TV113,20132020C,2,2019I,C1
1,ES731,20155010D,2,2019I,C1
1,CB115,20180122G,2,2019I,C1
1,EC511,20150085F,2,2019I,C1
1,ES731,20140113G,2,2019I,C1
1,CB212,20171064H,2,2019I,C1
1,CB311,20071224C,2,2019I,C1
1,EC114,20162072A,2,2019I,C1
1,TV661,20142501D,2,2019I,C1
1,ES531,20152553G,2,2019I,C1
1,EC511,20121013K,2,2019I,C1
1,CB121,20171109A,2,2019I,C1
1,GE001,20160017C,2,2019I,C1
1,CO821,20141018H,2,2019I,C1
1,CO722,19940368F,2,2019I,C1
1,CO920,20120091H,2,2019I,C1
1,ES531,20131148F,2,2019I,C1
1,EC111,20161135J,2,2019I,C1
1,FI204,20171073G,2,2019I,C1
1,GE001,20160129F,2,2019I,C1
1,CB121,20171059D,2,2019I,C1
1,ES832,20125001G,2,2019I,C1
1,CB311,20061245H,2,2019I,C1
1,CB121,20171120E,2,2019I,C1
1,CB311,20150052K,2,2019I,C1
1,FI204,20140020I,2,2019I,C1
1,EC211,20112058E,2,2019I,C1
1,CB213,20132007G,2,2019I,C1
1,GE831,20111120I,2,2019I,C1
1,EC114,20161148D,2,2019I,C1
1,EC211,20140130I,2,2019I,C1
1,EC114,19941144D,2,2019I,C1
1,HH224,20142036J,2,2019I,C1
1,EC211,20090322G,2,2019I,C1
1,CO823,20102527B,2,2019I,C1
1,TV113,20142531K,2,2019I,C1
1,CB212,20162501J,2,2019I,C1
1,CB114,20180168G,2,2019I,C1
1,ES731,20131107H,2,2019I,C1
1,CB212,20170158I,2,2019I,C1
1,GE001,20150061J,2,2019I,C1
1,ES731,20152060K,2,2019I,C1
1,CO421,20150036E,2,2019I,C1
1,EC513,20092540A,2,2019I,C1
1,GE001,20153003K,2,2019I,C1
1,CB114,20184082J,2,2019I,C1
1,TV761,20141129D,2,2019I,C1
1,CO622,20141114G,2,2019I,C1
1,CB121,20131102F,2,2019I,C1
1,GE001,20161104G,2,2019I,C1
1,TV114,20110126C,2,2019I,C1
1,EC211,19910349C,2,2019I,C1
1,CO622,20154098E,2,2019I,C1
1,TV113,20170170I,2,2019I,C1
1,CO922,20102078C,2,2019I,C1
1,EC323,20145520J,2,2019I,C1
1,ES831,20105015B,2,2019I,C1
1,HH113,20122018F,2,2019I,C1
1,TV661,20143501H,2,2019I,C1
1,CB121,19930511K,2,2019I,C1
1,CB212,20171141B,2,2019I,C1
1,HH224,20141120G,2,2019I,C1
1,CB411,20150021H,2,2019I,C1
1,HH113,20132561D,2,2019I,C1
1,TV661,20150105G,2,2019I,C1
1,HH315,20110137E,2,2019I,C1
1,EC511,20140067E,2,2019I,C1
1,SA253,20140099D,2,2019I,C1
1,FI204,20172548I,2,2019I,C1
1,CO421,20151135G,2,2019I,C1
1,CO721,20120057D,2,2019I,C1
1,CO822,20082103H,2,2019I,C1
1,CB212,20150028B,2,2019I,C1
1,CB114,20014564C,2,2019I,C1
1,CB114,20180153J,2,2019I,C1
1,HH223,20151034F,2,2019I,C1
1,CB412,20160055B,2,2019I,C1
1,CO622,20142543I,2,2019I,C1
1,CB212,20163502J,2,2019I,C1
1,TV561,20140105D,2,2019I,C1
1,TV113,20172037D,2,2019I,C1
1,CB212,20172045G,2,2019I,C1
1,MA195,20100101H,2,2019I,C1
1,TV561,20165035J,2,2019I,C1
1,CB121,20177010G,2,2019I,C1
1,CO822,20131157E,2,2019I,C1
1,EC114,20160035A,2,2019I,C1
1,CB411,20162039D,2,2019I,C1
1,TV661,20131072J,2,2019I,C1
1,HH415,20120086D,2,2019I,C1
1,CB212,20170051J,2,2019I,C1
1,TV114,20151086F,2,2019I,C1
1,EC111,20020378C,2,2019I,C1
1,CB212,20170143A,2,2019I,C1
1,HH224,20051254D,2,2019I,C1
1,MA195,19884107A,2,2019I,C1
1,CB412,20162520D,2,2019I,C1
1,ES731,19992139H,2,2019I,C1
1,FI204,20171066K,2,2019I,C1
1,TV113,20162565H,2,2019I,C1
1,TV561,20111196E,2,2019I,C1
1,TV114,20150143F,2,2019I,C1
1,SA253,20110149C,2,2019I,C1
1,ES731,19841021H,2,2019I,C1
1,CB109,20180130J,2,2019I,C1
1,EC611,20170141I,2,2019I,C1
1,TV661,20151111K,2,2019I,C1
1,ES831,20060239D,2,2019I,C1
1,CO722,20141006J,2,2019I,C1
1,ES731,20090318J,2,2019I,C1
1,EC211,20142060H,2,2019I,C1
1,GE001,20164154E,2,2019I,C1
1,GE001,20162585I,2,2019I,C1
1,CO722,20100088A,2,2019I,C1
1,ES831,20110060B,2,2019I,C1
1,ES731,20141154I,2,2019I,C1
1,CO721,20131051B,2,2019I,C1
1,EC521,20000202G,2,2019I,C1
1,CO822,20130111A,2,2019I,C1
1,CB121,20140085C,2,2019I,C1
1,FI204,20171116H,2,2019I,C1
1,EC114,20162510I,2,2019I,C1
1,CB311,20175516K,2,2019I,C1
1,CB109,20180149B,2,2019I,C1
1,ES531,20040366K,2,2019I,C1
1,EC211,20030349F,2,2019I,C1
1,ES731,20142561G,2,2019I,C1
1,ES831,20131038F,2,2019I,C1
1,CB114,20183003I,2,2019I,C1
1,CB212,20101148H,2,2019I,C1
1,TV661,20140133H,2,2019I,C1
1,TV113,20142562C,2,2019I,C1
1,CB411,20142080I,2,2019I,C1
1,TV761,20062112A,2,2019I,C1
1,CB211,20114037E,2,2019I,C1
1,CB411,20111115E,2,2019I,C1
1,FI204,20152529I,2,2019I,C1
1,EC611,20174023K,2,2019I,C1
1,FI204,20172552F,2,2019I,C1
1,EC311,20102562B,2,2019I,C1
1,CB411,20110157F,2,2019I,C1
1,TE981,20132028D,2,2019I,C1
1,HH333,19990176C,2,2019I,C1
1,SA253,20112550G,2,2019I,C1
1,EC323,20130155I,2,2019I,C1
1,SA253,20122027E,2,2019I,C1
1,EC322,20071138J,2,2019I,C1
1,TV661,20142518D,2,2019I,C1
1,TV114,20165032K,2,2019I,C1
1,CB411,20180315J,2,2019I,L1
1,MA185,20132151K,2,2019I,L1
1,EE211,20135502I,2,2019I,L1
1,FI204,20170492F,2,2019I,L1
1,MA114,20180397F,2,2019I,L1
1,EE211,20131179I,2,2019I,L1
1,MA143,20151252C,2,2019I,L1
1,EP399,20182167H,2,2019I,L1
1,MA185,20080341I,2,2019I,L1
1,EE112,20007502F,2,2019I,L1
1,MA611,20152672F,2,2019I,L1
1,EP111,20172669K,2,2019I,L1
1,QU111,20171476D,2,2019I,L1
1,EE211,20060086C,2,2019I,L1
1,EM111,20142668F,2,2019I,L1
1,EP111,20114069D,2,2019I,L1
1,EE211,19952095J,2,2019I,L1
1,EE354,20110274B,2,2019I,L1
1,EE225,20090118K,2,2019I,L1
1,EP399,20182121H,2,2019I,L1
1,EE112,20152625H,2,2019I,L1
1,EM111,20150253F,2,2019I,L1
1,EE112,19931106B,2,2019I,L1
1,FI403,20160331J,2,2019I,L1
1,EE616,20124075G,2,2019I,L1
1,EE225,19920374K,2,2019I,L1
1,EE211,20140320B,2,2019I,L1
1,FI403,20160315D,2,2019I,L1
