id,"Código
Curso",codalu,"N° Total de
Repeticiones",cosperidod
1,EC323,20120091H,2,2018II
1,SA253,20120091H,2,2018II
1,TV661,20120091H,3,2018II
1,HH224,19961186D,12,2018II
1,CO822,20130046E,2,2018II
1,EC211,20112058E,2,2018II
1,ES731,20112058E,2,2018II
1,SA253,20112058E,2,2018II
1,HH224,20134031B,2,2018II
1,EC935,20090286K,2,2018II
1,CO721,20120120H,2,2018II
1,EC211,20140130I,2,2018II
1,TV114,20140130I,2,2018II
1,SA253,20111044K,2,2018II
1,EC111,19941144D,2,2018II
1,CO622,20130130F,2,2018II
1,HH224,20090322G,2,2018II
1,CO823,20102527B,2,2018II
1,CO921,20102527B,2,2018II
1,CB212,20162501J,2,2018II
1,FI204,20162501J,2,2018II
1,CO925,20052130G,2,2018II
1,CB411,20122060B,2,2018II
1,EC114,20122060B,2,2018II
1,EC511,20122060B,2,2018II
1,EC114,20151049C,2,2018II
1,ES731,20131107H,2,2018II
1,CB212,20170158I,2,2018II
1,EP111,20170158I,2,2018II
1,CB121,20165517D,2,2018II
1,EC513,20092540A,2,2018II
1,ES531,20092540A,2,2018II
1,CB411,20153003K,2,2018II
1,CB412,20153003K,2,2018II
1,GE001,20153003K,2,2018II
1,TV761,20141129D,2,2018II
1,ES531,20141114G,2,2018II
1,CB121,20131102F,2,2018II
1,TV114,20110126C,2,2018II
1,CB411,20151105K,2,2018II
1,CB412,20151105K,2,2018II
1,CB211,20161069G,2,2018II
1,CB212,20161069G,2,2018II
1,FI204,20161069G,2,2018II
1,SA253,20130110E,2,2018II
1,HH224,20131103B,2,2018II
1,ES731,20132012K,2,2018II
1,CO921,20074061H,2,2018II
1,GE831,20074061H,7,2018II
1,HH413,20074061H,2,2018II
1,SA253,20074061H,2,2018II
1,HH333,20060077D,2,2018II
1,TV114,20162032J,2,2018II
1,ES731,20122512K,2,2018II
1,ES531,20012650J,2,2018II
1,CB412,20114514H,2,2018II
1,CO421,20114514H,2,2018II
1,TV113,20114514H,2,2018II
1,CB412,20122064H,2,2018II
1,CO922,20102078C,2,2018II
1,GE831,20102078C,2,2018II
1,HH485,20145520J,2,2018II
1,HH223,20131091D,2,2018II
1,GE001,20142548K,2,2018II
1,ES731,20141010G,2,2018II
1,HH224,20141010G,2,2018II
1,EC211,20061272E,2,2018II
1,ES731,20061272E,2,2018II
1,HH224,20061272E,2,2018II
1,EC211,19890554F,3,2018II
1,ES731,19890554F,2,2018II
1,CB211,20170173H,2,2018II
1,CB212,20170173H,2,2018II
1,FI204,20170173H,2,2018II
1,CB412,20132510K,2,2018II
1,EC612,20132510K,2,2018II
1,TV113,20132510K,2,2018II
1,FI204,20174034B,2,2018II
1,HH413,19932514G,4,2018II
1,GE001,20151108J,2,2018II
1,EC321,20110054B,2,2018II
1,HH433,20110137E,2,2018II
1,SA253,20110137E,2,2018II
1,CB412,20140067E,2,2018II
1,CO823,20111045G,2,2018II
1,EC211,20111045G,2,2018II
1,GE001,20151135G,2,2018II
1,FI204,20162595D,2,2018II
1,CB311,20150121B,2,2018II
1,CO822,20140135K,2,2018II
1,GE831,20140135K,2,2018II
1,HH113,20140135K,2,2018II
1,CO621,20082103H,3,2018II
1,CO822,20082103H,2,2018II
1,EC613,20082103H,4,2018II
1,HH224,20082103H,6,2018II
1,HH611,20082103H,3,2018II
1,HH113,19981213G,8,2018II
1,CB213,20160063E,2,2018II
1,CB412,20150136J,2,2018II
1,ES831,19980389D,2,2018II
1,EC513,19982571D,6,2018II
1,ES531,19982571D,2,2018II
1,FI204,20161047C,2,2018II
1,ES831,20132060E,2,2018II
1,CO822,20110042D,2,2018II
1,CO622,20142543I,2,2018II
1,GE001,20142543I,2,2018II
1,ES531,20100101H,2,2018II
1,MA195,20100101H,2,2018II
1,FI204,20151021A,2,2018II
1,CO821,20131157E,2,2018II
1,CO822,20131157E,2,2018II
1,CB412,20160035A,2,2018II
1,SA253,20082568K,2,2018II
1,CB412,20162039D,2,2018II
1,CB412,19992132C,2,2018II
1,EC323,20120086D,2,2018II
1,HH425,20120086D,2,2018II
1,FI204,20162575C,2,2018II
1,TV113,20162575C,2,2018II
1,SA253,20101161D,2,2018II
1,TV661,20140111D,2,2018II
1,CB115,20171123D,2,2018II
1,TV113,20162588H,2,2018II
1,CB412,20002132F,2,2018II
1,GE001,20152526J,2,2018II
1,EC211,20111196E,2,2018II
1,CB121,20170094K,2,2018II
1,CB109,20170168D,2,2018II
1,EC114,19992154G,2,2018II
1,EC513,19992154G,2,2018II
1,CB211,20170141I,2,2018II
